Results
Func;                 bisect;                 brentq;                 brenth;                 ridder;                 chandr;                  modAB
 f24;  -4.72938231709625e-44;  -2.52271763703809e-30;  -1.71437056754078e-30;   6.00806716579266e-43;  -1.12103877145985e-43;  -1.12103877145985e-43; 
 f25;  -5.81852408002965e-75;  -2.67096653730842e-58;   5.91287172722056e-59;   2.39445435392167e-72;  -2.45192125841579e-74;  -2.45192125841579e-74; 
 f26;   -1.5134023414708e-43;   9.83535721496565e-32;   6.53399286110769e-32;  -3.75504197862041e-45;    1.3684555315672e-45;   -1.5134023414708e-43; 
 f27;                     -0;                     -0;                     -0;                     -0;                     -0;                     -0;
 f28;  -2.36469115854813e-42;  -1.26501068267088e-32;   -9.0292434256399e-33;   5.60519385729927e-45;   7.00649232162409e-46;   -1.8917529268385e-44; 
 f29;                      0;                      0;                      0;                      0;                      0;                      0;
 f30;   -2.0996537841711e-12;   1.17239551400417e-13;   1.17239551400417e-13;  -1.81543668986706e-12;   1.17239551400417e-13;  -1.52766688188422e-13;
 f31;  -3.86357612569554e-14;                      0;                      0;                      0;                      0;                      0; 
 f32;  -7.28306304154103e-14;  -1.77635683940025e-15;   1.37667655053519e-14;   9.28146448586631e-14;  -1.77635683940025e-15;  -1.77635683940025e-15;
 f33;   4.77395900588817e-15;   1.11022302462516e-16;   1.11022302462516e-16;  -1.63202784619898e-14;   1.11022302462516e-16;   1.11022302462516e-16;
 f34;  -1.23234755733392e-14;   1.11022302462516e-16;                      0;   8.43769498715119e-15;                      0;                      0;
 f35;  -4.27019530846451e-14;   4.16333634234434e-17;   4.16333634234434e-17;  -2.66037192275803e-14;   4.16333634234434e-17;   4.16333634234434e-17; 
 f36;   -0.00124553173889237;    0.00104078394202683;    0.00104078394202683;    0.00105905446406025;   -0.00124553173889237;    0.00188259961982331;
 f37;   2.55351295663786e-18;                      0;                      0;                      0;   1.22124532708767e-18;                      0; 
 f38;                    0.5;                    0.5;                    0.5;                   -0.5;                   -0.5;                   -0.5; 
 f39;                  0.999;                 -0.001;                 -0.001;                  0.999;                 -0.001;                 -0.001;
 f40;        333599972397814;       -264917625139441;       -264917625139441;        264917625139441;       -169947155749830;      -42287320444793.4; 
 f41;    2.4757973449141e-14;                      0;                      0;                      0;                      0;                      0;
 f42;   2.93098878501041e-14;                      0;   2.48689957516036e-14;  -2.66453525910038e-15;  -2.66453525910038e-15;  -1.33226762955019e-15; 
 f43;    1.5134023414708e-43;  -3.81068453020973e-36;  -3.25933829091306e-36;  -9.58053182348883e-45;  -4.48415508583941e-44;    1.5134023414708e-43;
 f44;   4.29791018780252e-72;  -5.63914336139681e-57;  -6.05694983393577e-56;    1.3177757325786e-72;   -5.6597994242667e-73;   4.29791018780252e-72; 
 f45;  1.22056319567106e-100;   1.20813174907942e-74;   7.04840373827664e-75; -5.93899092245569e-101; -7.14367119551422e-102;  1.22056319567106e-100; 
 f46;   1.71055441078821e-09;                      0;                      0;                      0;                      0;                      0;
 f47;     4.081401883127e-12;  -6.66133814775094e-16;  -1.84097181943343e-12;    9.5856655946136e-13;   1.11022302462516e-15;   1.11022302462516e-15; 
 f48;   3.97009092267808e-11;   -3.2041036490682e-13;  -5.04041253179821e-14;  -5.87518922401387e-11;   3.89310805815057e-12;   2.88657986402541e-15;
 f49;   1.02140518265514e-14;  -1.11022302462516e-16;   2.22044604925031e-16;   8.43769498715119e-15;   2.22044604925031e-16;  -1.11022302462516e-16;
 f50;  -5.50670620214078e-14;   3.99680288865056e-15;                      0;                      0;                      0;                      0;
 f51;   6.21724893790086e-15;   2.22044604925031e-16;                      0;   5.32907051820074e-15;                      0;                      0;
 f52;   5.65103519534205e-14;   9.99200722162641e-16;   9.99200722162641e-16;   5.42899059041702e-14;   9.99200722162641e-16;  -1.11022302462516e-15; 
 f53;  -7.54951656745106e-15;  -2.22044604925031e-16;  -2.22044604925031e-16;   6.88338275267597e-15;  -2.22044604925031e-16;   4.44089209850063e-16;
 f54;   1.33226762955019e-15;                      0;                      0;   7.99360577730113e-15;                      0;  -1.11022302462516e-16;
 f55;  -1.30697032279927e-15;                      0;                      0;                      0;                      0;                      0; 
 f56;   1.06581410364015e-14;                      0;                      0;   1.19904086659517e-14;                      0;                      0;
 f57;    6.3948846218409e-14;                      0;                      0;   -7.8159700933611e-14;                      0;                      0;
 f58;  -1.66533453693773e-15;                      0;                      0;                      0;                      0;                      0;
 f59;   7.99360577730113e-15;                      0;                      0;                      0;                      0;  -4.44089209850063e-16;
 f60;   1.01030295240889e-14;                      0;                      0;                      0;                      0;                      0;
 f61;   2.62012633811537e-14;  -3.33066907387547e-16;  -3.33066907387547e-16;  -1.34336985979644e-14;  -3.33066907387547e-16;  -3.33066907387547e-16;
 f62;  -5.77315972805081e-15;                      0;   1.11022302462516e-15;                      0;                      0;  -2.22044604925031e-16; 
 f63;  -7.21644966006352e-15;                      0;  -9.99200722162641e-16;                      0;   2.22044604925031e-16;                      0;
 f64;   1.41553435639707e-15;                      0;                      0;                      0;  -1.90125692967058e-15;  -1.38777878078145e-17;
 f65;   3.60822483003176e-15;                      0;                      0;   3.88578058618805e-15;  -1.11022302462516e-15;                      0;
 f66;   4.56301663120939e-14;  -4.44089209850063e-16;  -4.44089209850063e-16;  -3.59712259978551e-14;  -4.44089209850063e-16;  -4.44089209850063e-16;
 f67;  -7.32747196252603e-15;                      0;                      0;                      0;  -2.33146835171283e-15;   2.22044604925031e-16;
 f68;   4.44089209850063e-15;                      0;                      0;                      0;                      0;                      0; 
 f69;   3.99680288865056e-15;   6.66133814775094e-16;                      0;                      0;  -1.11022302462516e-16;                      0;
 f70;   1.77309406848743e-14;  -1.42301535138722e-18;  -1.38913403349705e-18;   1.41177285248491e-14;  -1.36202897918491e-18;  -1.38913403349705e-18;
 f71;   6.79068451955188e-15;  -4.85048894253711e-15;                      0;  -1.06710756735817e-14;                      0;                      0;
 f72;   9.61140848539558e-26;  -1.33973230693073e-12;  -1.33800242274445e-12;   1.34605600831472e-27;  -9.59959702058299e-32;   9.61140848539558e-26; 
 f73;   9.61141809680892e-26;   3.97492264570912e-14;   7.30509037714728e-14;    1.3460573543714e-27;   1.05207337378718e-26;   9.61141809680892e-26; 
 f74;   1.36002242435392e-44;   1.59222828006154e-31;   1.07625684410252e-31;   1.55875637892577e-44;   1.36002242435392e-44;   1.36002242435392e-44;
 f75;                     -0;                      0;                      0;                      0;                     -0;                      0; 
 f76;               1.000001;                     -1;                     -1;                     -1;                     -1;               1.000001;
 f77;      -12794317123211.6;       8918019064099.99;       8918019064099.99;      -13857229622678.4;      -12794317123211.6;      -12794317123211.6; 
 f78;                    0.5;                   -0.5;                   -0.5;                    0.5;                   -0.5;                    0.5;
 f79;                    0.5;                    0.5;                    0.5;                    0.5;                   -0.5;                   -0.5;
 f80;   4.51385806336801e-10;   3.63493089794442e-13;   1.35750785612565e-14;  -4.47684327976872e-10;  -9.49411469580719e-12;   4.43247868964214e-14;
 f81;      0.935115263761726;     0.0717580896212852;                     -1;       1.40362318259485;     0.0168848936901564;                     -1; 
 f82;   3.49581474878846e-13;   8.52096171399808e-15;   8.52096171399808e-15;  -1.01288422094115e-12;   1.41553435639707e-15;  -1.40693012795623e-13;
 f83;   4.27213758661066e-38;   1.40203938399493e-29;   9.75392759595552e-30;   7.22873966044239e-38;   5.71149355191891e-38;   4.27213758661066e-38; 
 f84;   1.37043154602168e-14;  -1.11993747609063e-14;  -5.55111512312578e-16;   1.64215863129868e-13;  -7.79237785408782e-15;   1.22124532708767e-15;
 f85;  -1.83186799063151e-15;   5.55111512312578e-17;   5.55111512312578e-17;   2.05391259555654e-15;   5.55111512312578e-17;   5.55111512312578e-17; 
 f86;  -2.59341159658533e-16;  -2.60208521396521e-18;   1.15359111152458e-16;   1.22298005056365e-16;   3.20923843055709e-17;   -5.8113236445223e-17;
 f87;   3.13499226578529e-14;   2.63677968348475e-16;   2.63677968348475e-16;   2.24681384608516e-14;   2.63677968348475e-16;  -6.24500451351651e-16;
 f88;  -6.24500451351651e-16;   4.16333634234434e-17;   4.16333634234434e-17;   4.16333634234434e-17;   4.16333634234434e-17;   4.16333634234434e-17; 
 f89;                    nan;                    nan;                    nan;                    nan;                    nan;                    nan;
 f90;  -4.51721993144361e-15;   -9.0205620750794e-17;   1.31838984174237e-16;  -4.16333634234434e-15;                      0;                      0;
 f91;  -9.90527104782757e-16;   1.61329283265843e-16;   8.67361737988404e-18;  -2.12659750919997e-14;   6.41847686111419e-17;  -4.68375338513738e-17;

Function evaluations
Func; bisect; brentq; brenth; ridder; chandr;  modAB
